"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2045,0.0116744622261308
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2050,0.0119281220683642
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2025,0.20312673717048
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2030,0.20389879019305
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2035,0.202771446259912
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2040,0.200466020348561
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2045,0.200575767478761
2025,"Particulate Matter","Black Carbon","1A4ci","kilotonne",2050,0.200396738257332
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2025,0.213216194112459
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2030,0.0845123310166411
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2035,0.0630007094566903
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2040,0.0581329717751368
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2045,0.0581606311452139
2025,"Particulate Matter","Black Carbon","1A4cii","kilotonne",2050,0.0581606311452139
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2025,0.0492978211052386
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2030,0.0464457850032576
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2035,0.0437548930512166
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2040,0.0412162004356324
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2045,0.0388212520484933
2025,"Particulate Matter","Black Carbon","1A4ciii","kilotonne",2050,0.0365620559715981
2025,"Particulate Matter","Black Carbon","1A5a","kilotonne",2025,0.0211841822733317
2025,"Particulate Matter","Black Carbon","1A5a","kilotonne",2030,0.0218319460441789
2025,"Particulate Matter","Black Carbon","1A5a","kilotonne",2035,0.0224396866363471
2025,"Particulate Matter","Black Carbon","1A5a","kilotonne",2040,0.0229946310119817
